"Bruto domaèi proizvod na prebivalca, Slovenija, letno"

"LETO","EUR"
"2020",22014
"2019",23165
"2018",22135
"2017",20819
"2016",19589
"2015",18830
"2014",18253
"2013",17700
"2012",17626
"2011",18052
"2010",17749
"2009",17758
"2008",18757
"2007",17373
"2006",15676
"2005",14551
"2004",13878
"2003",13156
"2002",12504
"2001",11714
"2000",11077
"1999",10748
"1998",9963
"1997",9253
"1996",8630
"1995",8311
"1994",6115
"1993",5450
"1992",4854
"1991",5131
"1990",6843
"1989",...
"1988",...
"1987",...
"1986",...
"1985",...
"1984",...
"1983",...
"1982",...
"1981",...
"1980",...
